unfiltered_contours, biggest_contour, filtered_contours, sorted_contours, num_rects, num_contours, num_targets, cx_list, cy_list, index, coords, difference
"[105.0, 65.0, 49.0, 46323.0, 3407.0, 40.5, 38.0, 47.5]",105.0,"[105.0, 65.0]","[105.0, 65.0]",2,2,0,[],[],1,"(-1, -1)",321
"[376.5, 36971.5, 3470.0, 40.5, 79.0, 47.5]",376.5,[376.5],[376.5],0,1,0,[],[],0,"(-1, -1)",321
"[204.5, 49.0, 27854.5, 3011.0, 44.0]",204.5,[204.5],[204.5],0,1,0,[],[],0,"(-1, -1)",321
"[282.0, 49.0, 30385.5, 3034.0, 44.0]",282.0,[282.0],[282.0],0,1,0,[],[],0,"(-1, -1)",321
"[418.5, 46856.0, 3961.5, 91.0]",418.5,[418.5],[418.5],0,1,0,[],[],0,"(-1, -1)",321
"[28.5, 39747.0, 3772.5, 91.0]",91.0,[91.0],[91.0],0,1,0,[],[],0,"(-1, -1)",321
"[34301.5, 3272.5]",16.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[34150.0, 3166.5, 42.0]",42.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[31227.0, 2911.0, 37.0]",37.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[32302.5, 2995.0, 37.0]",37.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[32950.5, 2959.5, 40.5]",40.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[34667.0, 3288.0]",34667.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[45672.0, 4610.0, 26.0]",26.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[87.0, 49.0, 49891.5, 4983.5, 26.0, 26.0]",87.0,[87.0],[87.0],0,1,0,[],[],0,"(-1, -1)",321
"[52.5, 38036.0, 3440.5]",52.5,[52.5],[52.5],0,1,0,[],[],0,"(-1, -1)",321
"[34384.5, 3250.0]",1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[41237.5, 4343.5]",22.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[19788.0, 69.0, 1967.0]",69.0,[69.0],[69.0],0,1,0,[],[],0,"(-1, -1)",321
"[20355.0, 61.0, 2048.5]",61.0,[61.0],[61.0],0,1,0,[],[],0,"(-1, -1)",321
"[19081.0, 1968.0]",5.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[310.0, 10037.0, 1358.0]",1358.0,[1358.0],[1358.0],0,1,0,[],[],0,"(-1, -1)",321
"[42.5, 71.5, 3438.0, 679.5]",679.5,[679.5],[679.5],0,1,0,[],[],0,"(-1, -1)",321
"[59.5, 80.0, 25.5, 1404.5, 398.0]",1404.5,[1404.5],[1404.5],0,1,0,[],[],0,"(-1, -1)",321
"[62.0, 3267.0, 570.0]",570.0,[570.0],[570.0],0,1,0,[],[],0,"(-1, -1)",321
"[72.5, 8771.5, 852.5]",852.5,[852.5],[852.5],0,1,0,[],[],0,"(-1, -1)",321
"[28.0, 21162.0, 2037.0]",28.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[28114.5, 2678.0, 28.0]",28.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[28859.0, 35.5, 2675.0, 28.0, 26.0]",35.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[26.5, 27065.5, 35.0, 2513.0]",35.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[26.5, 28853.0, 35.0, 2820.5]",35.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[35258.0, 3399.0]",16.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[41378.0, 3971.0]",23.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[42275.0, 4003.0, 33.0, 27.5, 42.0]",42.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[43218.5, 4139.0, 34.0, 33.0, 27.5, 42.0]",42.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[45162.5, 4356.0, 34.0, 34.0, 186.5, 35.0]",186.5,[186.5],[186.5],0,1,0,[],[],0,"(-1, -1)",321
"[49116.5, 4778.5]",25.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[49116.5, 4778.5]",25.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[51082.0, 4980.5]",25.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[52274.5, 4999.0]",5.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[51971.0, 4706.5]",5.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[45434.0, 4222.5]",17.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[44923.5, 4189.5]",13.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[45936.0, 4676.0]",13.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[46035.5, 4665.5]",13.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[40328.5, 3894.0]",23.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[161.5, 42077.5, 4126.5]",161.5,[161.5],[161.5],0,1,0,[],[],0,"(-1, -1)",321
"[33.0, 43078.5, 4146.5]",33.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[70.5, 43133.0, 3933.5]",70.5,[70.5],[70.5],0,1,0,[],[],0,"(-1, -1)",321
"[111.0, 43299.5, 3933.5]",111.0,[111.0],[111.0],0,1,0,[],[],0,"(-1, -1)",321
"[117.0, 40196.5, 3451.0]",117.0,[117.0],[117.0],0,1,0,[],[],0,"(-1, -1)",321
"[140.5, 40643.0, 3501.5]",140.5,[140.5],[140.5],0,1,0,[],[],0,"(-1, -1)",321
"[183.0, 41743.5, 3511.5]",183.0,[183.0],[183.0],0,1,0,[],[],0,"(-1, -1)",321
"[190.5, 42569.0, 60.0, 3626.0]",190.5,[190.5],[190.5],0,1,0,[],[],0,"(-1, -1)",321
"[197.5, 41582.0, 35.0, 3407.0]",197.5,[197.5],[197.5],0,1,0,[],[],0,"(-1, -1)",321
"[76.0, 179.5, 37603.5, 3109.5]",179.5,[179.5],[179.5],0,1,0,[],[],0,"(-1, -1)",321
"[132.0, 28005.5, 393.0, 46.0, 90.5, 2368.5]",393.0,[393.0],[393.0],0,1,0,[],[],0,"(-1, -1)",321
"[115.5, 25118.5, 83.5, 2142.0]",115.5,"[115.5, 83.5]","[115.5, 83.5]",2,2,0,[],[],1,"(-1, -1)",321
"[30.0, 127.5, 26747.0, 134.0, 2243.5]",134.0,"[127.5, 134.0]","[127.5, 134.0]",2,2,0,[],[],1,"(-1, -1)",321
"[51.5, 122.5, 787.5, 26482.5, 2301.5]",787.5,[787.5],[787.5],0,1,0,[],[],0,"(-1, -1)",321
"[161.0, 96.0, 89.0, 84.5, 163.0, 24259.5, 44.5, 63.0, 2184.0]",163.0,"[161.0, 163.0]","[161.0, 163.0]",2,2,0,[],[],1,"(-1, -1)",321
"[33.0, 182.0, 96.0, 89.0, 52.0, 68.5, 23775.5, 44.5, 61.5, 2182.0]",182.0,[182.0],[182.0],0,1,0,[],[],0,"(-1, -1)",321
"[109.5, 182.0, 89.0, 77.0, 23451.5, 44.5, 67.0, 2180.0]",182.0,"[109.5, 182.0]","[109.5, 182.0]",2,2,0,[],[],1,"(-1, -1)",321
"[109.5, 100.0, 97.5, 66.5, 24706.0, 44.5, 77.5, 2217.0]",109.5,"[109.5, 100.0, 97.5, 66.5, 77.5]","[100.0, 109.5, 97.5, 77.5, 66.5]",5,5,0,[],[],4,"(-1, -1)",321
"[110.5, 26.0, 31765.0, 37.5, 56.0, 243.0, 2896.5]",243.0,[243.0],[243.0],0,1,0,[],[],0,"(-1, -1)",321
"[160.5, 69.5, 268.5, 73817.0, 178.5, 308.0, 230.0, 78.5]",308.0,"[268.5, 308.0, 230.0]","[230.0, 308.0, 268.5]",3,3,0,[],[],2,"(-1, -1)",321
"[262.5, 120.0, 2312.5, 116.5, 64482.5, 5355.5, 37.5]",262.5,[262.5],[262.5],0,1,0,[],[],0,"(-1, -1)",321
"[214.0, 68.0, 47.0, 30.5, 82706.0, 26.0, 48.0, 70.0, 90.5, 3610.0, 64.0]",214.0,[214.0],[214.0],0,1,0,[],[],0,"(-1, -1)",321
"[35.0, 62.5, 83.5, 50.5, 604.5, 39.0, 29.5, 262.0, 3295.0, 28401.0, 1725.5, 32.0, 71.5, 39.0]",1725.5,[1725.5],[1725.5],0,1,0,[],[],0,"(-1, -1)",321
"[75.5, 445.5, 90.5, 202.0, 51.0, 308.5, 2850.0, 392.0]",445.5,"[445.5, 308.5, 392.0]","[392.0, 308.5, 445.5]",3,3,0,[],[],2,"(-1, -1)",321
"[31.0, 830.5, 454.5, 84.5, 36.5, 100.0, 10003.0, 2723.0, 551.5]",830.5,"[830.5, 551.5]","[551.5, 830.5]",2,2,0,[],[],1,"(-1, -1)",321
"[1253.0, 296.5, 45.0, 78.5, 58.5, 1534.5, 65.5, 9668.0, 69.0, 23642.5, 59.0, 1388.5, 26.0]",1534.5,"[1253.0, 1534.5, 1388.5]","[1253.0, 1388.5, 1534.5]",3,3,0,[],[],2,"(-1, -1)",321
"[2174.0, 45.0, 59.5, 32.0, 50.5, 1527.0, 86.0, 8225.5, 29123.5, 1244.5, 306.5]",1527.0,"[1527.0, 1244.5]","[1244.5, 1527.0]",2,2,0,[],[],1,"(-1, -1)",321
"[35.0, 1838.5, 27.0, 43.0, 1585.5, 78.0, 8263.5, 58.0, 36721.0, 1661.5, 49.0, 38.0]",1661.5,"[1585.5, 1661.5]","[1661.5, 1585.5]",2,2,0,[],[],1,"(-1, -1)",321
"[71.5, 163.5, 389.5, 244.5, 2971.5, 11979.5, 901.5]",901.5,[901.5],[901.5],0,1,0,[],[],0,"(-1, -1)",321
"[31.0, 164.0, 392.5, 244.0, 127.0, 49.5, 3196.5, 435.5]",435.5,"[392.5, 435.5]","[435.5, 392.5]",2,2,0,[],[],1,"(-1, -1)",321
"[164.0, 343.0, 242.5, 50.5, 2731.5, 347.0]",347.0,"[343.0, 242.5, 347.0]","[347.0, 343.0, 242.5]",3,3,0,[],[],2,"(-1, -1)",321
"[151.0, 192.0, 253.0, 207.5, 1695.0, 303.0]",1695.0,[1695.0],[1695.0],0,1,0,[],[],0,"(-1, -1)",321
"[155.0, 142.5, 29.0, 247.0, 51.5, 26.5, 425.0, 1317.5]",1317.5,[1317.5],[1317.5],0,1,0,[],[],0,"(-1, -1)",321
"[188.0, 119.5, 29.0, 200.0, 236.0, 1719.5]",1719.5,[1719.5],[1719.5],0,1,0,[],[],0,"(-1, -1)",321
"[89.5, 167.0, 63.0, 68.5, 36.0, 1532.0, 422.0, 1382.5]",1532.0,"[1532.0, 1382.5]","[1532.0, 1382.5]",2,2,0,[],[],1,"(-1, -1)",321
"[188.5, 134.0, 33.0, 1244.5, 3528.0, 674.0, 26.0]",1244.5,[1244.5],[1244.5],0,1,0,[],[],0,"(-1, -1)",321
"[213.5, 38.0, 46.0, 29.0, 113.0, 667.5, 3338.0, 557.5]",667.5,"[667.5, 557.5]","[557.5, 667.5]",2,2,0,[],[],1,"(-1, -1)",321
"[40.5, 38.0, 527.0, 429.5, 3902.0, 540.0]",540.0,"[527.0, 429.5, 540.0]","[540.0, 527.0, 429.5]",3,3,0,[],[],2,"(-1, -1)",321
"[38.0, 2069.0, 2283.0, 475.0]",475.0,[475.0],[475.0],0,1,0,[],[],0,"(-1, -1)",321
"[34.5, 1833.5, 1790.0, 445.0]",445.0,[445.0],[445.0],0,1,0,[],[],0,"(-1, -1)",321
"[34.5, 175.0, 36.5, 1929.0, 469.0, 113.0]",469.0,[469.0],[469.0],0,1,0,[],[],0,"(-1, -1)",321
"[47.0, 1880.0, 480.5]",480.5,[480.5],[480.5],0,1,0,[],[],0,"(-1, -1)",321
"[51.5, 1712.5, 591.0]",1712.5,[1712.5],[1712.5],0,1,0,[],[],0,"(-1, -1)",321
"[42.5, 698.5, 827.5, 769.5, 53.5]",827.5,"[698.5, 827.5, 769.5]","[769.5, 698.5, 827.5]",3,3,0,[],[],2,"(-1, -1)",321
"[3639.5, 1645.5, 614.0, 121.0, 28.0]",1645.5,[1645.5],[1645.5],0,1,0,[],[],0,"(-1, -1)",321
"[3705.5, 1478.0, 600.5, 78.0, 116.0]",1478.0,[1478.0],[1478.0],0,1,0,[],[],0,"(-1, -1)",321
"[3718.5, 514.0, 78.5, 121.0, 35.0]",514.0,[514.0],[514.0],0,1,0,[],[],0,"(-1, -1)",321
"[5146.0, 471.5, 118.0, 78.5, 38.5]",471.5,[471.5],[471.5],0,1,0,[],[],0,"(-1, -1)",321
"[7451.5, 547.0, 126.5, 90.0, 69.0]",547.0,[547.0],[547.0],0,1,0,[],[],0,"(-1, -1)",321
"[91.0, 7998.0, 873.0, 332.5, 133.5, 101.0, 47.5, 50.0]",873.0,[873.0],[873.0],0,1,0,[],[],0,"(-1, -1)",321
"[72.0, 129.0, 6309.5, 96.5, 120.0, 52.0, 47.5]",129.0,"[129.0, 96.5, 120.0]","[120.0, 96.5, 129.0]",3,3,0,[],[],2,"(-1, -1)",321
"[44.0, 38.5, 88.0, 3638.0, 126.0, 101.0, 47.5, 48.5]",126.0,"[88.0, 126.0, 101.0]","[126.0, 101.0, 88.0]",3,3,0,[],[],2,"(-1, -1)",321
"[41.5, 1278.0, 136.5, 122.5, 104.5, 47.5, 56.5]",1278.0,[1278.0],[1278.0],0,1,0,[],[],0,"(-1, -1)",321
"[699.0, 207.0, 130.0, 109.0, 51.0, 54.5]",699.0,[699.0],[699.0],0,1,0,[],[],0,"(-1, -1)",321
"[961.5, 408.0, 139.0, 108.0, 71.5, 54.0]",961.5,[961.5],[961.5],0,1,0,[],[],0,"(-1, -1)",321
"[715.0, 1769.5, 763.5, 100.0, 140.0, 74.0, 53.0]",763.5,"[715.0, 763.5]","[763.5, 715.0]",2,2,0,[],[],1,"(-1, -1)",321
"[71.0, 2962.0, 41.0, 19646.0, 1639.5]",1639.5,[1639.5],[1639.5],0,1,0,[],[],0,"(-1, -1)",321
"[33.5, 2925.5, 15807.0, 1144.0]",1144.0,[1144.0],[1144.0],0,1,0,[],[],0,"(-1, -1)",321
"[33.0, 3567.0, 19842.0, 1269.5]",1269.5,[1269.5],[1269.5],0,1,0,[],[],0,"(-1, -1)",321
"[43067.5, 1782.0, 27.0, 52.5]",52.5,[52.5],[52.5],0,1,0,[],[],0,"(-1, -1)",321
"[159.5, 38814.5, 79.0, 36.5, 1589.5, 49.0, 52.5]",1589.5,[1589.5],[1589.5],0,1,0,[],[],0,"(-1, -1)",321
"[31.5, 35081.5, 1757.0, 151.0, 57.5]",151.0,[151.0],[151.0],0,1,0,[],[],0,"(-1, -1)",321
"[44.0, 31.0, 102.0, 17226.5, 1005.5, 52.0]",1005.5,[1005.5],[1005.5],0,1,0,[],[],0,"(-1, -1)",321
"[44.0, 87.0, 12431.0, 806.0, 52.0]",806.0,[806.0],[806.0],0,1,0,[],[],0,"(-1, -1)",321
"[58.5, 10028.5, 82.0, 485.5, 52.0]",485.5,[485.5],[485.5],0,1,0,[],[],0,"(-1, -1)",321
"[39.5, 50.0, 8692.0, 76.0, 479.0, 46.0]",479.0,[479.0],[479.0],0,1,0,[],[],0,"(-1, -1)",321
"[138.5, 8035.0, 461.5, 64.0, 33.0, 41.0]",461.5,[461.5],[461.5],0,1,0,[],[],0,"(-1, -1)",321
"[26.0, 249.0, 1152.0, 239.0, 3439.0, 38.0]",1152.0,[1152.0],[1152.0],0,1,0,[],[],0,"(-1, -1)",321
"[28.0, 43.5, 3266.5, 40.0]",43.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[35.0, 2480.5, 43.0]",43.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[31.5, 28.5, 1989.5, 29.0]",31.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[34.5, 25.5, 46.5, 1636.0]",1636.0,[1636.0],[1636.0],0,1,0,[],[],0,"(-1, -1)",321
"[39.0, 38.5, 39.5, 54.0, 1334.5]",1334.5,[1334.5],[1334.5],0,1,0,[],[],0,"(-1, -1)",321
"[68.5, 168.0, 42.5, 1118.5]",1118.5,[1118.5],[1118.5],0,1,0,[],[],0,"(-1, -1)",321
"[74.0, 248.0, 56.0, 945.0]",945.0,[945.0],[945.0],0,1,0,[],[],0,"(-1, -1)",321
"[77.5, 340.0, 62.5, 729.5, 39.0]",729.5,[729.5],[729.5],0,1,0,[],[],0,"(-1, -1)",321
"[109.5, 413.0, 51.5, 729.5, 96.0, 41.5]",729.5,[729.5],[729.5],0,1,0,[],[],0,"(-1, -1)",321
"[125.5, 383.5, 72.5, 1139.0, 40.5, 101.5, 27.5]",1139.0,[1139.0],[1139.0],0,1,0,[],[],0,"(-1, -1)",321
"[139.5, 225.0, 96.5, 1659.5, 26.5, 120.0, 54.5, 152.5]",1659.5,[1659.5],[1659.5],0,1,0,[],[],0,"(-1, -1)",321
"[32.0, 192.5, 157.5, 1959.5, 66.5, 134.0, 168.5, 54.0]",192.5,"[192.5, 157.5, 134.0, 168.5]","[168.5, 134.0, 192.5, 157.5]",4,4,0,[],[],3,"(-1, -1)",321
"[113.5, 259.5, 1784.0, 155.0]",259.5,[259.5],[259.5],0,1,0,[],[],0,"(-1, -1)",321
"[394.5, 2097.0]",394.5,[394.5],[394.5],0,1,0,[],[],0,"(-1, -1)",321
"[394.5, 2097.0]",394.5,[394.5],[394.5],0,1,0,[],[],0,"(-1, -1)",321
"[498.0, 3094.5]",498.0,[498.0],[498.0],0,1,0,[],[],0,"(-1, -1)",321
"[417.0, 2758.5]",417.0,[417.0],[417.0],0,1,0,[],[],0,"(-1, -1)",321
"[276.5, 2095.0, 34.5, 124.5]",276.5,[276.5],[276.5],0,1,0,[],[],0,"(-1, -1)",321
"[143.5, 2002.5, 44.0, 38.5, 147.0, 193.0]",193.0,"[143.5, 147.0, 193.0]","[193.0, 147.0, 143.5]",3,3,0,[],[],2,"(-1, -1)",321
"[141.5, 3384.0, 61.5, 36.5, 78.0, 125.0, 206.0]",206.0,"[141.5, 125.0, 206.0]","[206.0, 125.0, 141.5]",3,3,0,[],[],2,"(-1, -1)",321
"[159.0, 4866.0, 146.0, 52.0, 60.0, 122.5, 195.5]",195.5,"[159.0, 146.0, 122.5, 195.5]","[195.5, 159.0, 122.5, 146.0]",4,4,0,[],[],3,"(-1, -1)",321
"[122.0, 6248.5, 32.0, 195.0, 32.0, 57.5, 130.0, 192.0]",195.0,"[122.0, 195.0, 130.0, 192.0]","[122.0, 192.0, 130.0, 195.0]",4,4,0,[],[],3,"(-1, -1)",321
"[185.0, 6821.5, 41.5, 129.5, 186.0]",186.0,"[185.0, 129.5, 186.0]","[185.0, 186.0, 129.5]",3,3,0,[],[],2,"(-1, -1)",321
"[198.0, 7515.0, 45.5, 113.5, 191.5]",198.0,"[198.0, 191.5]","[198.0, 191.5]",2,2,0,[],[],1,"(-1, -1)",321
"[301.0, 7722.0, 40.0, 112.5, 196.0]",301.0,"[301.0, 196.0]","[301.0, 196.0]",2,2,0,[],[],1,"(-1, -1)",321
"[311.5, 6858.5, 35.0, 126.0, 200.5]",311.5,"[311.5, 200.5]","[311.5, 200.5]",2,2,0,[],[],1,"(-1, -1)",321
"[427.0, 9145.0, 112.5, 33.0, 131.5, 186.0]",427.0,[427.0],[427.0],0,1,0,[],[],0,"(-1, -1)",321
"[331.5, 313.0, 206.0, 6705.5, 150.5, 30.5, 86.0, 144.5]",331.5,"[331.5, 313.0, 206.0]","[331.5, 313.0, 206.0]",3,3,0,[],[],2,"(-1, -1)",321
"[330.0, 484.0, 5958.0, 126.5, 54.0, 117.0]",484.0,"[330.0, 484.0]","[330.0, 484.0]",2,2,0,[],[],1,"(-1, -1)",321
"[55.0, 49.5, 50.0, 26.5, 108.5, 81.5, 114.0, 388.0, 182.5, 5457.5, 94.5, 157.0]",388.0,[388.0],[388.0],0,1,0,[],[],0,"(-1, -1)",321
"[124.0, 50.5, 55.5, 45.0, 594.0, 5655.0, 65.0, 170.5, 94.5, 175.5]",594.0,[594.0],[594.0],0,1,0,[],[],0,"(-1, -1)",321
"[90.0, 48.5, 73.5, 26.5, 52.0, 30.0, 121.0]",121.0,"[90.0, 73.5, 121.0]","[90.0, 121.0, 73.5]",3,3,0,[],[],2,"(-1, -1)",321
"[59.5, 36.5, 71.5, 29.0, 62.5, 109.0]",109.0,"[71.5, 109.0]","[109.0, 71.5]",2,2,0,[],[],1,"(-1, -1)",321
"[47.0, 37.5, 56.5, 32.5, 47.0, 31.5]",56.5,[56.5],[56.5],0,1,0,[],[],0,"(-1, -1)",321
"[66.5, 36.0, 31.0, 49.5]",66.5,[66.5],[66.5],0,1,0,[],[],0,"(-1, -1)",321
"[30.0, 35.0, 31.0, 57.5]",57.5,[57.5],[57.5],0,1,0,[],[],0,"(-1, -1)",321
"[28.5, 39.0]",39.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[29.0, 25.5, 33.0]",33.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[47.5],47.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[66.0],66.0,[66.0],[66.0],0,1,0,[],[],0,"(-1, -1)",321
[68.5],68.5,[68.5],[68.5],0,1,0,[],[],0,"(-1, -1)",321
"[128.5, 417.0, 29.5]",417.0,[417.0],[417.0],0,1,0,[],[],0,"(-1, -1)",321
"[101.0, 390.0, 35.5]",390.0,[390.0],[390.0],0,1,0,[],[],0,"(-1, -1)",321
[340.5],340.5,[340.5],[340.5],0,1,0,[],[],0,"(-1, -1)",321
[299.5],299.5,[299.5],[299.5],0,1,0,[],[],0,"(-1, -1)",321
[272.0],272.0,[272.0],[272.0],0,1,0,[],[],0,"(-1, -1)",321
[260.5],260.5,[260.5],[260.5],0,1,0,[],[],0,"(-1, -1)",321
[248.5],248.5,[248.5],[248.5],0,1,0,[],[],0,"(-1, -1)",321
[303.0],303.0,[303.0],[303.0],0,1,0,[],[],0,"(-1, -1)",321
[248.0],248.0,[248.0],[248.0],0,1,0,[],[],0,"(-1, -1)",321
[204.5],204.5,[204.5],[204.5],0,1,0,[],[],0,"(-1, -1)",321
[193.5],193.5,[193.5],[193.5],0,1,0,[],[],0,"(-1, -1)",321
[167.5],167.5,[167.5],[167.5],0,1,0,[],[],0,"(-1, -1)",321
[173.0],173.0,[173.0],[173.0],0,1,0,[],[],0,"(-1, -1)",321
[164.5],164.5,[164.5],[164.5],0,1,0,[],[],0,"(-1, -1)",321
[164.0],164.0,[164.0],[164.0],0,1,0,[],[],0,"(-1, -1)",321
[131.5],131.5,[131.5],[131.5],0,1,0,[],[],0,"(-1, -1)",321
[117.0],117.0,[117.0],[117.0],0,1,0,[],[],0,"(-1, -1)",321
[80.0],80.0,[80.0],[80.0],0,1,0,[],[],0,"(-1, -1)",321
[26.5],26.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],6.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],6.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],7.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],7.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],10.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],11.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[37.5],37.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],8.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],6.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],4.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],4.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],5.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],4.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
