unfiltered_contours, biggest_contour, filtered_contours, sorted_contours, num_rects, num_contours, num_targets, cx_list, cy_list, index, coords, difference
"[506.5, 485.5]",506.5,"[506.5, 485.5]","[506.5, 485.5]",2,2,1,[281],[230],0,"(281, 230)",39
"[501.0, 480.0]",501.0,"[501.0, 480.0]","[501.0, 480.0]",2,2,1,[277],[230],0,"(277, 230)",43
"[506.0, 489.0]",506.0,"[506.0, 489.0]","[506.0, 489.0]",2,2,1,[276],[230],0,"(276, 230)",44
"[503.5, 498.5]",503.5,"[503.5, 498.5]","[503.5, 498.5]",2,2,1,[276],[231],0,"(276, 231)",44
"[490.5, 481.5]",490.5,"[490.5, 481.5]","[490.5, 481.5]",2,2,1,[275],[231],0,"(275, 231)",45
"[474.5, 469.0]",474.5,"[474.5, 469.0]","[474.5, 469.0]",2,2,1,[274],[232],0,"(274, 232)",46
"[468.0, 456.0]",468.0,"[468.0, 456.0]","[468.0, 456.0]",2,2,1,[274],[232],0,"(274, 232)",46
"[461.5, 447.0]",461.5,"[461.5, 447.0]","[461.5, 447.0]",2,2,1,[274],[231],0,"(274, 231)",46
"[454.0, 438.5]",454.0,"[454.0, 438.5]","[454.0, 438.5]",2,2,1,[271],[231],0,"(271, 231)",49
"[471.5, 460.0]",471.5,"[471.5, 460.0]","[471.5, 460.0]",2,2,1,[270],[231],0,"(270, 231)",50
"[471.5, 460.0]",471.5,"[471.5, 460.0]","[471.5, 460.0]",2,2,1,[270],[231],0,"(270, 231)",50
"[456.0, 452.0]",456.0,"[456.0, 452.0]","[456.0, 452.0]",2,2,1,[268],[229],0,"(268, 229)",52
"[436.0, 444.5]",444.5,"[436.0, 444.5]","[436.0, 444.5]",2,2,1,[267],[229],0,"(267, 229)",53
"[429.5, 429.0]",429.5,"[429.5, 429.0]","[429.5, 429.0]",2,2,1,[267],[230],0,"(267, 230)",53
"[425.5, 425.5]",425.5,"[425.5, 425.5]","[425.5, 425.5]",2,2,1,[269],[231],0,"(269, 231)",51
"[418.5, 419.5]",419.5,"[418.5, 419.5]","[418.5, 419.5]",2,2,1,[270],[230],0,"(270, 230)",50
"[415.0, 421.0]",421.0,"[415.0, 421.0]","[415.0, 421.0]",2,2,1,[270],[230],0,"(270, 230)",50
"[411.0, 415.0]",415.0,"[411.0, 415.0]","[411.0, 415.0]",2,2,1,[270],[229],0,"(270, 229)",50
"[397.5, 412.5]",412.5,"[397.5, 412.5]","[397.5, 412.5]",2,2,1,[270],[229],0,"(270, 229)",50
